date,sunrise_local,sunset_local,day_length_hours,latitude,longitude,timezone
2025-02-20,2025-02-20 07:20:00,2025-02-20 17:40:00,10.333333333333334,51.4689,10.8078,Europe/Berlin
2025-02-21,2025-02-21 07:18:00,2025-02-21 17:42:00,10.4,51.4689,10.8078,Europe/Berlin
2025-02-22,2025-02-22 07:16:00,2025-02-22 17:44:00,10.466666666666667,51.4689,10.8078,Europe/Berlin
2025-02-23,2025-02-23 07:14:00,2025-02-23 17:46:00,10.533333333333333,51.4689,10.8078,Europe/Berlin
